"filename", "language", "Docker", "C++", "Go", "JSON", "comment", "blank", "total"
"d:\BaiduSyncdisk\OCI\Code.go", "Go", 0, 0, 26, 0, 0, 7, 33
"d:\BaiduSyncdisk\OCI\Dockerfile", "Docker", 4, 0, 0, 0, 0, 4, 8
"d:\BaiduSyncdisk\OCI\busybox\index.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"d:\BaiduSyncdisk\OCI\execute\cli\build.cpp", "C++", 0, 114, 0, 0, 12, 10, 136
"d:\BaiduSyncdisk\OCI\execute\cli\common.cpp", "C++", 0, 31, 0, 0, 28, 5, 64
"d:\BaiduSyncdisk\OCI\execute\cmd\build.cpp", "C++", 0, 15, 0, 0, 3, -1, 17
"d:\BaiduSyncdisk\OCI\execute\cmd\root.cpp", "C++", 0, 1, 0, 0, 0, 0, 1
"d:\BaiduSyncdisk\OCI\execute\cobra\flag.cpp", "C++", 0, 60, 0, 0, 3, 3, 66
"d:\BaiduSyncdisk\OCI\execute\define\namespace.cpp", "C++", 0, 6, 0, 0, 9, 0, 15
"d:\BaiduSyncdisk\OCI\execute\define\types.cpp", "C++", 0, 7, 0, 0, 0, 0, 7
"d:\BaiduSyncdisk\OCI\execute\docker\reference.cpp", "C++", 0, 6, 0, 0, 0, 1, 7
"d:\BaiduSyncdisk\OCI\execute\imagebuildah\build.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"d:\BaiduSyncdisk\OCI\execute\internal\types.cpp", "C++", 0, -21, 0, 0, 21, 0, 0
"d:\BaiduSyncdisk\OCI\execute\pkg\idtools\idtools.cpp", "C++", 0, 6, 0, 0, 0, 1, 7
"d:\BaiduSyncdisk\OCI\execute\pkg\parse\parse.cpp", "C++", 0, 213, 0, 0, 69, 40, 322
"d:\BaiduSyncdisk\OCI\execute\pkg\util\util.cpp", "C++", 0, 2, 0, 0, 0, 0, 2
"d:\BaiduSyncdisk\OCI\execute\storage\utils.cpp", "C++", 0, -3, 0, 0, -7, 1, -9
"d:\BaiduSyncdisk\OCI\include\cli\build.h", "C++", 0, 18, 0, 0, 0, 0, 18
"d:\BaiduSyncdisk\OCI\include\cli\common.h", "C++", 0, 4, 0, 0, 0, 0, 4
"d:\BaiduSyncdisk\OCI\include\cmd\root.h", "C++", 0, 1, 0, 0, 0, 0, 1
"d:\BaiduSyncdisk\OCI\include\cobra\command.h", "C++", 0, 0, 0, 0, 0, 1, 1
"d:\BaiduSyncdisk\OCI\include\cobra\flag.h", "C++", 0, 5, 0, 0, 0, -1, 4
"d:\BaiduSyncdisk\OCI\include\config\config.h", "C++", 0, 9, 0, 0, 0, -2, 7
"d:\BaiduSyncdisk\OCI\include\define\build.h", "C++", 0, -5, 0, 0, 17, -2, 10
"d:\BaiduSyncdisk\OCI\include\define\namespace.h", "C++", 0, 18, 0, 0, 0, 2, 20
"d:\BaiduSyncdisk\OCI\include\define\specs.h", "C++", 0, 24, 0, 0, 8, 4, 36
"d:\BaiduSyncdisk\OCI\include\define\types.h", "C++", 0, 49, 0, 0, 0, 4, 53
"d:\BaiduSyncdisk\OCI\include\docker\reference.h", "C++", 0, 6, 0, 0, 0, 0, 6
"d:\BaiduSyncdisk\OCI\include\pkg\idtools\idtools.h", "C++", 0, 18, 0, 0, 0, 1, 19
"d:\BaiduSyncdisk\OCI\include\pkg\parse\parse.h", "C++", 0, 12, 0, 0, 1, 1, 14
"d:\BaiduSyncdisk\OCI\include\storage\utils.h", "C++", 0, -1, 0, 0, 1, 0, 0
"Total", "-", 4, 595, 26, 1, 165, 80, 871
