"filename", "language", "C++", "comment", "blank", "total"
"d:\BaiduSyncdisk\OCI\execute\buildah\buildah.cpp", "C++", 241, 1, 19, 261
"d:\BaiduSyncdisk\OCI\execute\buildah\common.cpp", "C++", 42, 1, 6, 49
"d:\BaiduSyncdisk\OCI\execute\buildah\config.cpp", "C++", 4, 0, 1, 5
"d:\BaiduSyncdisk\OCI\execute\buildah\digester.cpp", "C++", 36, 2, 2, 40
"d:\BaiduSyncdisk\OCI\execute\buildah\image.cpp", "C++", 5, 0, 3, 8
"d:\BaiduSyncdisk\OCI\execute\buildah\util.cpp", "C++", 24, 0, 2, 26
"d:\BaiduSyncdisk\OCI\execute\digest\algorithm.cpp", "C++", 9, 12, 4, 25
"d:\BaiduSyncdisk\OCI\execute\digest\digest.cpp", "C++", 21, 3, 2, 26
"d:\BaiduSyncdisk\OCI\execute\go\string.cpp", "C++", 24, 7, 3, 34
"d:\BaiduSyncdisk\OCI\execute\imagebuildah\stage_executor.cpp", "C++", 170, 4, 8, 182
"d:\BaiduSyncdisk\OCI\execute\imagebuilder\builder.cpp", "C++", 135, 1, 16, 152
"d:\BaiduSyncdisk\OCI\execute\imagebuilder\dispatchers.cpp", "C++", 281, 66, 34, 381
"d:\BaiduSyncdisk\OCI\execute\manifest\manifest.cpp", "C++", 4, 0, 3, 7
"d:\BaiduSyncdisk\OCI\execute\parse\dockerfileparse.cpp", "C++", 1, 0, 0, 1
"d:\BaiduSyncdisk\OCI\execute\reference\reference.cpp", "C++", 3, 0, 2, 5
"d:\BaiduSyncdisk\OCI\execute\shell\lex.cpp", "C++", 6, 0, 0, 6
"d:\BaiduSyncdisk\OCI\execute\signature\policy_config.cpp", "C++", 29, 1, 7, 37
"d:\BaiduSyncdisk\OCI\execute\signature\policy_eval.cpp", "C++", 6, 0, 4, 10
"d:\BaiduSyncdisk\OCI\execute\signature\policy_types.cpp", "C++", 1, 0, 0, 1
"d:\BaiduSyncdisk\OCI\execute\storage\storage_reference.cpp", "C++", 11, 0, 2, 13
"d:\BaiduSyncdisk\OCI\execute\storage\storage_transport.cpp", "C++", 3, 0, 1, 4
"d:\BaiduSyncdisk\OCI\execute\transports\transports.cpp", "C++", 3, 0, 0, 3
"d:\BaiduSyncdisk\OCI\include\buildah\buildah.h", "C++", 36, -1, 2, 37
"d:\BaiduSyncdisk\OCI\include\buildah\commit.h", "C++", 41, 25, 26, 92
"d:\BaiduSyncdisk\OCI\include\buildah\common.h", "C++", 41, 0, 5, 46
"d:\BaiduSyncdisk\OCI\include\buildah\digest.h", "C++", -22, -10, -7, -39
"d:\BaiduSyncdisk\OCI\include\buildah\digester.h", "C++", 30, 10, 8, 48
"d:\BaiduSyncdisk\OCI\include\buildah\image.h", "C++", 50, 1, 3, 54
"d:\BaiduSyncdisk\OCI\include\buildah\util.h", "C++", 20, 0, 3, 23
"d:\BaiduSyncdisk\OCI\include\config\config.h", "C++", 8, 0, -1, 7
"d:\BaiduSyncdisk\OCI\include\copy\copy.h", "C++", 53, 2, 12, 67
"d:\BaiduSyncdisk\OCI\include\define\types.h", "C++", 25, 0, 1, 26
"d:\BaiduSyncdisk\OCI\include\digest\algorithm.h", "C++", 23, 0, 3, 26
"d:\BaiduSyncdisk\OCI\include\digest\digest.h", "C++", 6, 0, 1, 7
"d:\BaiduSyncdisk\OCI\include\digest\digester.h", "C++", 13, 2, 4, 19
"d:\BaiduSyncdisk\OCI\include\docker\container.h", "C++", -48, 64, 0, 16
"d:\BaiduSyncdisk\OCI\include\docker\types.h", "C++", 96, 23, 21, 140
"d:\BaiduSyncdisk\OCI\include\go\hash.h", "C++", 12, 4, 6, 22
"d:\BaiduSyncdisk\OCI\include\go\string.h", "C++", 3, 0, 0, 3
"d:\BaiduSyncdisk\OCI\include\homedir\homedir_unix.h", "C++", 20, 0, 6, 26
"d:\BaiduSyncdisk\OCI\include\imagebuildah\stage_executor.h", "C++", 15, 0, 1, 16
"d:\BaiduSyncdisk\OCI\include\imagebuilder\builder.h", "C++", 34, 1, -2, 33
"d:\BaiduSyncdisk\OCI\include\imagebuilder\dispatchers.h", "C++", 69, 0, 11, 80
"d:\BaiduSyncdisk\OCI\include\imagebuilder\internals.h", "C++", 103, 10, 14, 127
"d:\BaiduSyncdisk\OCI\include\manifest\docker_schema2.h", "C++", 52, 10, 6, 68
"d:\BaiduSyncdisk\OCI\include\manifest\manifest.h", "C++", 15, 0, 4, 19
