Date : 2024-09-21 17:39:07
Directory : e:\BaiduSyncdisk\OCI
Total : 238 files,  15932 codes, 6938 comments, 3110 blanks, all 25980 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        232 |     15,497 |      4,976 |      2,464 |     22,937 |
| Doxyfile |          1 |        358 |      1,929 |        616 |      2,903 |
| Makefile |          1 |         50 |         33 |         20 |        103 |
| Markdown |          1 |         12 |          0 |          5 |         17 |
| Go       |          1 |         10 |          0 |          1 |         11 |
| Docker   |          1 |          4 |          0 |          4 |          8 |
| JSON     |          1 |          1 |          0 |          0 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                            |        238 |     15,932 |      6,938 |      3,110 |     25,980 |
| . (Files)                                                    |          6 |        460 |      1,962 |        652 |      3,074 |
| busybox                                                      |          1 |          1 |          0 |          0 |          1 |
| execute                                                      |         97 |     10,125 |      3,075 |      1,412 |     14,612 |
| execute (Files)                                              |          1 |         25 |         38 |          4 |         67 |
| execute\alltransports                                        |          1 |         15 |          7 |          3 |         25 |
| execute\attributedstring                                     |          1 |         15 |          0 |          2 |         17 |
| execute\auth                                                 |          1 |         10 |          5 |          3 |         18 |
| execute\buildah                                              |          6 |        380 |          4 |         32 |        416 |
| execute\capabilities                                         |          1 |          1 |          0 |          1 |          2 |
| execute\cli                                                  |          2 |        340 |        178 |         50 |        568 |
| execute\cobra                                                |          4 |        887 |        648 |         39 |      1,574 |
| execute\config                                               |          6 |        725 |        174 |         94 |        993 |
| execute\define                                               |          4 |         95 |         56 |          8 |        159 |
| execute\digest                                               |          4 |        110 |         29 |         14 |        153 |
| execute\fmt                                                  |          1 |          1 |         23 |          6 |         30 |
| execute\go                                                   |          5 |        308 |        101 |         42 |        451 |
| execute\graphdriver                                          |          1 |         45 |         13 |          8 |         66 |
| execute\idtools                                              |          1 |          7 |          8 |          3 |         18 |
| execute\imagebuildah                                         |          4 |      1,159 |        161 |        125 |      1,445 |
| execute\imagebuilder                                         |          5 |      1,063 |        139 |        150 |      1,352 |
| execute\internal                                             |          1 |          1 |         21 |          4 |         26 |
| execute\lockfile                                             |          1 |        215 |         83 |         52 |        350 |
| execute\logrus                                               |          6 |        746 |        119 |        131 |        996 |
| execute\main                                                 |         13 |        434 |        352 |         61 |        847 |
| execute\manifest                                             |          1 |          4 |          0 |          3 |          7 |
| execute\multierror                                           |          1 |         18 |         32 |          3 |         53 |
| execute\parse                                                |          5 |      1,255 |        216 |        187 |      1,658 |
| execute\pflag                                                |          1 |        165 |        202 |          4 |        371 |
| execute\reference                                            |          1 |         35 |          0 |          3 |         38 |
| execute\regexp                                               |          1 |        243 |         26 |         52 |        321 |
| execute\selinux                                              |          2 |         51 |         23 |         12 |         86 |
| execute\semaphore                                            |          1 |         69 |         30 |         18 |        117 |
| execute\shell                                                |          1 |        312 |         14 |         32 |        358 |
| execute\signature                                            |          3 |         36 |          1 |         11 |         48 |
| execute\storage                                              |          6 |        849 |        204 |        181 |      1,234 |
| execute\transports                                           |          1 |         33 |          0 |          1 |         34 |
| execute\types                                                |          1 |        374 |        144 |         60 |        578 |
| execute\unshare                                              |          1 |          9 |          2 |          1 |         12 |
| execute\util                                                 |          1 |         83 |         22 |         11 |        116 |
| execute\v1                                                   |          1 |          7 |          0 |          1 |          8 |
| include                                                      |        134 |      5,346 |      1,901 |      1,046 |      8,293 |
| include\alltransports                                        |          1 |         10 |          0 |          4 |         14 |
| include\attributedstring                                     |          1 |         15 |          0 |          3 |         18 |
| include\auth                                                 |          1 |          7 |          0 |          2 |          9 |
| include\buildah                                              |          6 |        269 |         74 |         87 |        430 |
| include\bytes                                                |          1 |         25 |          4 |          5 |         34 |
| include\capabilities                                         |          1 |          3 |          0 |          4 |          7 |
| include\cgroupv2                                             |          1 |         40 |          3 |          5 |         48 |
| include\cli                                                  |          2 |        150 |        154 |          9 |        313 |
| include\cobra                                                |          4 |        210 |        107 |         20 |        337 |
| include\config                                               |          6 |        315 |        192 |        170 |        677 |
| include\context                                              |          1 |         54 |         15 |         13 |         82 |
| include\copy                                                 |          1 |         53 |          2 |         12 |         67 |
| include\define                                               |          5 |        398 |        324 |         33 |        755 |
| include\devices                                              |          1 |         30 |         11 |         10 |         51 |
| include\digest                                               |          4 |         91 |          2 |         12 |        105 |
| include\docker                                               |          2 |        106 |         98 |         27 |        231 |
| include\fmt                                                  |          1 |          8 |         23 |          8 |         39 |
| include\go                                                   |          6 |        124 |         33 |         34 |        191 |
| include\graphdriver                                          |          1 |         90 |         21 |         11 |        122 |
| include\homedir                                              |          1 |         20 |          0 |          6 |         26 |
| include\idtools                                              |          1 |         28 |          0 |          5 |         33 |
| include\imagebuildah                                         |          4 |        274 |         19 |         18 |        311 |
| include\imagebuilder                                         |          5 |        304 |         14 |         40 |        358 |
| include\internal                                             |          1 |         21 |          2 |          3 |         26 |
| include\libimage                                             |          1 |         10 |          0 |          4 |         14 |
| include\lockfile                                             |          2 |         66 |         10 |          5 |         81 |
| include\logrus                                               |          9 |        400 |         71 |         65 |        536 |
| include\main                                                 |         13 |        209 |        184 |         19 |        412 |
| include\manifest                                             |          2 |         67 |         10 |         10 |         87 |
| include\multierror                                           |          1 |         44 |          1 |          7 |         52 |
| include\parse                                                |          5 |        161 |          2 |         19 |        182 |
| include\pflag                                                |          1 |         88 |         42 |          2 |        132 |
| include\platforms                                            |          1 |         40 |          2 |          6 |         48 |
| include\reference                                            |          3 |        154 |         98 |         31 |        283 |
| include\regexp                                               |          1 |         45 |          0 |          1 |         46 |
| include\runtime_spec                                         |          4 |        196 |         19 |         58 |        273 |
| include\rusage                                               |          2 |        115 |         22 |         12 |        149 |
| include\selinux                                              |          2 |         28 |          7 |         11 |         46 |
| include\semaphore                                            |          1 |         34 |          2 |          4 |         40 |
| include\shell                                                |          1 |         58 |          2 |         10 |         70 |
| include\signature                                            |          3 |         65 |          0 |         13 |         78 |
| include\signer                                               |          1 |          5 |          0 |          4 |          9 |
| include\specs                                                |          1 |         34 |         25 |          4 |         63 |
| include\sshagent                                             |          1 |         14 |          1 |          3 |         18 |
| include\storage                                              |          5 |        491 |        182 |        121 |        794 |
| include\strslice                                             |          1 |         10 |          0 |          3 |         13 |
| include\sync                                                 |          4 |         76 |         26 |         24 |        126 |
| include\system                                               |          1 |         16 |          4 |          1 |         21 |
| include\transports                                           |          1 |         20 |          0 |          3 |         23 |
| include\types                                                |          3 |        118 |         58 |         24 |        200 |
| include\unshare                                              |          2 |         21 |          0 |          5 |         26 |
| include\util                                                 |          1 |         18 |          0 |          7 |         25 |
| include\v1                                                   |          3 |         98 |         35 |         29 |        162 |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                     | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\BaiduSyncdisk\OCI\Code.go                                 | Go       |         10 |          0 |          1 |         11 |
| e:\BaiduSyncdisk\OCI\Dockerfile                              | Docker   |          4 |          0 |          4 |          8 |
| e:\BaiduSyncdisk\OCI\Doxyfile                                | Doxyfile |        358 |      1,929 |        616 |      2,903 |
| e:\BaiduSyncdisk\OCI\Makefile                                | Makefile |         50 |         33 |         20 |        103 |
| e:\BaiduSyncdisk\OCI\README.md                               | Markdown |         12 |          0 |          5 |         17 |
| e:\BaiduSyncdisk\OCI\busybox\index.json                      | JSON     |          1 |          0 |          0 |          1 |
| e:\BaiduSyncdisk\OCI\execute\alltransports\alltransports.cpp | C++      |         15 |          7 |          3 |         25 |
| e:\BaiduSyncdisk\OCI\execute\attributedstring\slice.cpp      | C++      |         15 |          0 |          2 |         17 |
| e:\BaiduSyncdisk\OCI\execute\auth\auth.cpp                   | C++      |         10 |          5 |          3 |         18 |
| e:\BaiduSyncdisk\OCI\execute\buildah\buildah.cpp             | C++      |        254 |          1 |         18 |        273 |
| e:\BaiduSyncdisk\OCI\execute\buildah\common.cpp              | C++      |         42 |          1 |          6 |         49 |
| e:\BaiduSyncdisk\OCI\execute\buildah\config.cpp              | C++      |          4 |          0 |          1 |          5 |
| e:\BaiduSyncdisk\OCI\execute\buildah\digester.cpp            | C++      |         36 |          2 |          2 |         40 |
| e:\BaiduSyncdisk\OCI\execute\buildah\image.cpp               | C++      |         20 |          0 |          3 |         23 |
| e:\BaiduSyncdisk\OCI\execute\buildah\util.cpp                | C++      |         24 |          0 |          2 |         26 |
| e:\BaiduSyncdisk\OCI\execute\capabilities\capabilities.cpp   | C++      |          1 |          0 |          1 |          2 |
| e:\BaiduSyncdisk\OCI\execute\cli\build.cpp                   | C++      |        220 |         29 |         18 |        267 |
| e:\BaiduSyncdisk\OCI\execute\cli\common.cpp                  | C++      |        120 |        149 |         32 |        301 |
| e:\BaiduSyncdisk\OCI\execute\cobra\args.cpp                  | C++      |         10 |          7 |          0 |         17 |
| e:\BaiduSyncdisk\OCI\execute\cobra\command.cpp               | C++      |        530 |        313 |         24 |        867 |
| e:\BaiduSyncdisk\OCI\execute\cobra\error.cpp                 | C++      |          1 |          0 |          2 |          3 |
| e:\BaiduSyncdisk\OCI\execute\cobra\flag.cpp                  | C++      |        346 |        328 |         13 |        687 |
| e:\BaiduSyncdisk\OCI\execute\config\config.cpp               | C++      |         66 |         35 |         11 |        112 |
| e:\BaiduSyncdisk\OCI\execute\config\config_local.cpp         | C++      |          4 |          0 |          1 |          5 |
| e:\BaiduSyncdisk\OCI\execute\config\default_linux.cpp        | C++      |         62 |         11 |         10 |         83 |
| e:\BaiduSyncdisk\OCI\execute\config\defaut.cpp               | C++      |        397 |         59 |         29 |        485 |
| e:\BaiduSyncdisk\OCI\execute\config\new.cpp                  | C++      |        195 |         69 |         42 |        306 |
| e:\BaiduSyncdisk\OCI\execute\config\pod_exit_policy.cpp      | C++      |          1 |          0 |          1 |          2 |
