"filename", "language", "Makefile", "C++", "JSON", "comment", "blank", "total"
"e:\BaiduSyncdisk\OCI\Makefile", "Makefile", -2, 0, 0, 2, 0, 0
"e:\BaiduSyncdisk\OCI\busybox\index.json", "JSON", 0, 0, 12, 0, 0, 12
"e:\BaiduSyncdisk\OCI\execute\buildah\buildah.cpp", "C++", 0, -1, 0, 1, 0, 0
"e:\BaiduSyncdisk\OCI\execute\cgroupv2\cgroups_linux.cpp", "C++", 0, 26, 0, 2, 3, 31
"e:\BaiduSyncdisk\OCI\execute\cobra\command.cpp", "C++", 0, -1, 0, 1, 0, 0
"e:\BaiduSyncdisk\OCI\execute\config\config.cpp", "C++", 0, -4, 0, 4, 0, 0
"e:\BaiduSyncdisk\OCI\execute\config\default_linux.cpp", "C++", 0, -4, 0, 4, 0, 0
"e:\BaiduSyncdisk\OCI\execute\define\pull.cpp", "C++", 0, -6, 0, 6, 0, 0
"e:\BaiduSyncdisk\OCI\execute\digest\algorithm.cpp", "C++", 0, -5, 0, 5, 0, 0
"e:\BaiduSyncdisk\OCI\execute\graphdriver\driver.cpp", "C++", 0, 53, 0, 17, 10, 80
"e:\BaiduSyncdisk\OCI\execute\imagebuilder\evaluator.cpp", "C++", 0, -15, 0, 16, -1, 0
"e:\BaiduSyncdisk\OCI\execute\init\init.cpp", "C++", 0, 8, 0, 13, 2, 23
"e:\BaiduSyncdisk\OCI\execute\init\init_cmd.cpp", "C++", 0, 8, 0, 0, 2, 10
"e:\BaiduSyncdisk\OCI\execute\init\init_global.cpp", "C++", 0, 162, 0, 10, 20, 192
"e:\BaiduSyncdisk\OCI\execute\logrus\bufferpool.cpp", "C++", 0, -1, 0, 1, 0, 0
"e:\BaiduSyncdisk\OCI\execute\logrus\entry.cpp", "C++", 0, -4, 0, 4, 0, 0
"e:\BaiduSyncdisk\OCI\execute\logrus\exported.cpp", "C++", 0, 148, 0, 7, 3, 158
"e:\BaiduSyncdisk\OCI\execute\logrus\logger.cpp", "C++", 0, 10, 0, -5, 0, 5
"e:\BaiduSyncdisk\OCI\execute\main.cpp", "C++", 0, -6, 0, -10, 0, -16
"e:\BaiduSyncdisk\OCI\execute\main\root.cpp", "C++", 0, -4, 0, 4, 0, 0
"e:\BaiduSyncdisk\OCI\execute\parse\buildkitparser.cpp", "C++", 0, -1, 0, 1, 0, 0
"e:\BaiduSyncdisk\OCI\execute\parse\dockerfileparse.cpp", "C++", 0, -34, 0, 34, 0, 0
"e:\BaiduSyncdisk\OCI\execute\regexp\regexp.cpp", "C++", 0, -1, 0, 1, 0, 0
"e:\BaiduSyncdisk\OCI\execute\storage\storage.cpp", "C++", 0, -56, 0, 44, 2, -10
"e:\BaiduSyncdisk\OCI\execute\storage\storage_transport.cpp", "C++", 0, -1, 0, 1, 0, 0
"e:\BaiduSyncdisk\OCI\execute\types\options.cpp", "C++", 0, 2, 0, 8, 1, 11
"e:\BaiduSyncdisk\OCI\execute\v1\descriptor.cpp", "C++", 0, -6, 0, 6, 0, 0
"e:\BaiduSyncdisk\OCI\include\cgroupv2\cgroups_linux.h", "C++", 0, -20, 0, -1, -3, -24
"e:\BaiduSyncdisk\OCI\include\copy\copy.h", "C++", 0, 0, 0, 0, -3, -3
"e:\BaiduSyncdisk\OCI\include\graphdriver\driver.h", "C++", 0, 2, 0, 1, -2, 1
"e:\BaiduSyncdisk\OCI\include\init\init.h", "C++", 0, 6, 0, 0, 3, 9
"e:\BaiduSyncdisk\OCI\include\init\init_cmd.h", "C++", 0, 6, 0, 0, 3, 9
"e:\BaiduSyncdisk\OCI\include\init\init_global.h", "C++", 0, 27, 0, 0, 4, 31
"e:\BaiduSyncdisk\OCI\include\logrus\entry.h", "C++", 0, -1, 0, 1, 0, 0
"e:\BaiduSyncdisk\OCI\include\logrus\exported.h", "C++", 0, 54, 0, 2, 3, 59
"e:\BaiduSyncdisk\OCI\include\logrus\logrus.h", "C++", 0, 1, 0, 3, -1, 3
"e:\BaiduSyncdisk\OCI\include\main\root.h", "C++", 0, 1, 0, 0, 0, 1
"e:\BaiduSyncdisk\OCI\include\runtime_spec\symtab.h", "C++", 0, 1, 0, 0, 0, 1
"e:\BaiduSyncdisk\OCI\include\semaphore\semaphore.h", "C++", 0, 1, 0, 0, 0, 1
"e:\BaiduSyncdisk\OCI\include\storage\storage.h", "C++", 0, -1, 0, 2, 1, 2
"e:\BaiduSyncdisk\OCI\include\types\network.h", "C++", 0, 1, 0, 0, -1, 0
"Total", "-", -2, 345, 12, 185, 46, 586
