"filename", "language", "Docker", "Markdown", "C++", "Shell Script", "comment", "blank", "total"
"e:\BaiduSyncdisk\OCI\Dockerfile", "Docker", -2, 0, 0, 0, 15, 3, 16
"e:\BaiduSyncdisk\OCI\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 2
"e:\BaiduSyncdisk\OCI\app\my_script.sh", "Shell Script", 0, 0, 0, 1, 2, 2, 5
"e:\BaiduSyncdisk\OCI\execute\blobcache\blobcache.cpp", "C++", 0, 0, 4, 0, 0, 3, 7
"e:\BaiduSyncdisk\OCI\execute\buildah\buildah.cpp", "C++", 0, 0, 7, 0, 0, 0, 7
"e:\BaiduSyncdisk\OCI\execute\buildah\new.cpp", "C++", 0, 0, 43, 0, 2, 1, 46
"e:\BaiduSyncdisk\OCI\execute\buildah\push.cpp", "C++", 0, 0, 16, 0, 0, 1, 17
"e:\BaiduSyncdisk\OCI\execute\cli\build.cpp", "C++", 0, 0, 0, 0, 1, 0, 1
"e:\BaiduSyncdisk\OCI\execute\cli\common.cpp", "C++", 0, 0, 7, 0, 0, -1, 6
"e:\BaiduSyncdisk\OCI\execute\config\config.cpp", "C++", 0, 0, 1, 0, 0, 0, 1
"e:\BaiduSyncdisk\OCI\execute\config\default_linux.cpp", "C++", 0, 0, -1, 0, 2, 0, 1
"e:\BaiduSyncdisk\OCI\execute\config\defaut.cpp", "C++", 0, 0, 1, 0, -2, 0, -1
"e:\BaiduSyncdisk\OCI\execute\config\new.cpp", "C++", 0, 0, 6, 0, 3, -2, 7
"e:\BaiduSyncdisk\OCI\execute\define\pull.cpp", "C++", 0, 0, 13, 0, 1, 1, 15
"e:\BaiduSyncdisk\OCI\execute\docker\docker_transport.cpp", "C++", 0, 0, 54, 0, 2, 5, 61
"e:\BaiduSyncdisk\OCI\execute\go\string.cpp", "C++", 0, 0, 6, 0, 2, 0, 8
"e:\BaiduSyncdisk\OCI\execute\graphdriver\driver.cpp", "C++", 0, 0, 0, 0, 2, 1, 3
"e:\BaiduSyncdisk\OCI\execute\imagebuildah\build.cpp", "C++", 0, 0, 3, 0, 1, 0, 4
"e:\BaiduSyncdisk\OCI\execute\imagebuildah\executor.cpp", "C++", 0, 0, 5, 0, 1, -2, 4
"e:\BaiduSyncdisk\OCI\execute\imagebuildah\stage_executor.cpp", "C++", 0, 0, 69, 0, 3, 3, 75
"e:\BaiduSyncdisk\OCI\execute\imagebuilder\builder.cpp", "C++", 0, 0, -6, 0, 22, 0, 16
"e:\BaiduSyncdisk\OCI\execute\init\init_global.cpp", "C++", 0, 0, 30, 0, 0, -5, 25
"e:\BaiduSyncdisk\OCI\execute\libimage\pull.cpp", "C++", 0, 0, 1, 0, 0, 2, 3
"e:\BaiduSyncdisk\OCI\execute\libimage\runtime.cpp", "C++", 0, 0, 27, 0, 0, 4, 31
"e:\BaiduSyncdisk\OCI\execute\lockfile\lastwrite.cpp", "C++", 0, 0, 19, 0, 7, 6, 32
"e:\BaiduSyncdisk\OCI\execute\lockfile\lockfile.cpp", "C++", 0, 0, -4, 0, 7, -5, -2
"e:\BaiduSyncdisk\OCI\execute\logrus\entry.cpp", "C++", 0, 0, -2, 0, 5, 0, 3
"e:\BaiduSyncdisk\OCI\execute\main\build.cpp", "C++", 0, 0, 9, 0, -7, 0, 2
"e:\BaiduSyncdisk\OCI\execute\parse\dockerfileparse.cpp", "C++", 0, 0, -3, 0, -9, -2, -14
"e:\BaiduSyncdisk\OCI\execute\parse\parse.cpp", "C++", 0, 0, 10, 0, 1, -2, 9
"e:\BaiduSyncdisk\OCI\execute\parse\split_command.cpp", "C++", 0, 0, -1, 0, 1, 0, 0
"e:\BaiduSyncdisk\OCI\execute\pflag\value.cpp", "C++", 0, 0, 0, 0, 1, 0, 1
"e:\BaiduSyncdisk\OCI\execute\reference\normalize.cpp", "C++", 0, 0, 48, 0, 13, 13, 74
"e:\BaiduSyncdisk\OCI\execute\reference\reference.cpp", "C++", 0, 0, 38, 0, 6, 0, 44
"e:\BaiduSyncdisk\OCI\execute\reference\regexp.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
