"filename", "language", "C++", "Makefile", "Go", "Docker", "Markdown", "JSON", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder_init\Code.go", "Go", 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\VScodeProjects\ocibuilder_init\Dockerfile", "Docker", 0, 0, 0, 4, 0, 0, 0, 4, 8
"e:\Projects\VScodeProjects\ocibuilder_init\Makefile", "Makefile", 0, 48, 0, 0, 0, 0, 35, 20, 103
"e:\Projects\VScodeProjects\ocibuilder_init\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 5, 19
"e:\Projects\VScodeProjects\ocibuilder_init\busybox\index.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 13
"e:\Projects\VScodeProjects\ocibuilder_init\execute\alltransports\alltransports.cpp", "C++", 15, 0, 0, 0, 0, 0, 7, 3, 25
"e:\Projects\VScodeProjects\ocibuilder_init\execute\attributedstring\slice.cpp", "C++", 15, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Projects\VScodeProjects\ocibuilder_init\execute\auth\auth.cpp", "C++", 10, 0, 0, 0, 0, 0, 5, 3, 18
"e:\Projects\VScodeProjects\ocibuilder_init\execute\buildah\buildah.cpp", "C++", 253, 0, 0, 0, 0, 0, 2, 18, 273
"e:\Projects\VScodeProjects\ocibuilder_init\execute\buildah\common.cpp", "C++", 42, 0, 0, 0, 0, 0, 1, 6, 49
"e:\Projects\VScodeProjects\ocibuilder_init\execute\buildah\config.cpp", "C++", 4, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Projects\VScodeProjects\ocibuilder_init\execute\buildah\digester.cpp", "C++", 36, 0, 0, 0, 0, 0, 2, 2, 40
"e:\Projects\VScodeProjects\ocibuilder_init\execute\buildah\image.cpp", "C++", 20, 0, 0, 0, 0, 0, 0, 3, 23
"e:\Projects\VScodeProjects\ocibuilder_init\execute\buildah\util.cpp", "C++", 24, 0, 0, 0, 0, 0, 0, 2, 26
"e:\Projects\VScodeProjects\ocibuilder_init\execute\capabilities\capabilities.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\VScodeProjects\ocibuilder_init\execute\cgroupv2\cgroups_linux.cpp", "C++", 26, 0, 0, 0, 0, 0, 2, 3, 31
"e:\Projects\VScodeProjects\ocibuilder_init\execute\cli\build.cpp", "C++", 220, 0, 0, 0, 0, 0, 29, 18, 267
